talk_id,occupations
1,climate advocate
2,inventor
2,engineer
3,president-elect of afghanistan
4,aircraft engineer
5,car designer
6,biologist
6,genetics pioneer
7,technology columnist
8,architect
8,experience designer
9,inventor
10,physician
10,author
11,primatologist
11,environmentalist
12,neuroscience and cancer researcher
13,architect
14,experimental audio-visual artist
16,anthropologist
16,expert on love
18,science writer
18,innovation consultant
18,conservationist
19,digital visionary
20,writer
21,blogger; cofounder
21,six apart
22,skeptic
23,musician
23,activist
25,education visionary
26,performance poet
26,multimedia artist
27,industrial designer
28,marketer and author
29,economist
30,economist
31,architect
32,artist
33,military strategist
34,photographer
35,biologist
35,nobel laureate
36,author
37,founder of wikipedia
38,inventor
38,futurist
39,crusader against aging
40,nature photographer
41,tech visionary
42,astrophysicist
43,designer; creative director
43,ideo
44,philosopher
45,violinist
46,pianist
46,composer
47,physicist
47,author
48,inventor
49,architect
50,graphic designer
51,physicist
51,energy guru
53,activist for environmental justice
54,co-founder
54,architecture for humanity
55,filmmaker
56,photographer
57,biomedical inventor
58,epidemiologist
58,philanthropist
59,musician
59,activist
60,actor
60,playwright
60,social critic
61,writer
62,global prioritizer
63,innovation consultant
64,playwright
64,activist
65,human-computer interface designer
66,author
66,educator
67,mathematician; statistician
68,journalist
68,philosopher
69,anthropologist
69,ethnobotanist
70,marketer
70,success analyst
71,pastor
71,author
72,drone maker
73,writer
73,thinker
73,activist
74,planetary futurist
75,nonprofit venture capitalist
76,primate authority
77,biologist
77,biomechanics researcher
78,master of visual illusions
79,founder
79,grameenphone
80,author
80,academic
80,futurist
81,singer
81,performance artist
82,inventor
83,biologist
84,photojournalist
85,activist
86,actor
86,comedian
86,playwright
87,web humorist
89,polar explorer
90,physicist
90,personal fab pioneer
91,investor and advocate for moral leadership
92,global health expert; data visionary
93,psychologist
94,philosopher
94,cognitive scientist
97,psychologist; happiness expert
98,evolutionary biologist
99,singer/songwriter
101,cellist; singer-songwriter
102,philosopher
102,cognitive scientist
103,musician
104,architect
105,online commerce pioneer
108,performance poet
108,multimedia artist
109,singer/songwriter
109,electronic music pioneer
110,singer/songwriter
110,electronic music pioneer
112,priest
113,evolutionary biologist
114,satirist
115,musician
115,electronic music pioneer
116,philosopher
116,cognitive scientist
117,fiddler
117,electronic music pioneer
118,computer scientist
118,entrepreneur and philanthropist
118,ceo of google
119,singer/songwriter
121,social critic
122,designer
122,educator
123,environmentalist
123,futurist
125,computer designer
125,brain researcher
126,marine biologist
127,economist
128,venture capitalist
129,software architect
130,buddhist scholar
131,technologist
131,digital product designer
139,general manager of microsoft's virtual earth
140,global health expert; data visionary
141,explorer
141,inventor
141,outer space dreamer
142,medical futurist
143,economist
144,artist
144,storyteller
144,internet anthropologist
145,ecologist
146,game designer
147,medical animator
148,performance poet
148,multimedia artist
149,marketing expert
151,economist
152,economist
153,inventor
154,investment banker
155,novelist
155,poet
156,university founder
157,investor and advocate for moral leadership
158,musician
158,activist
159,journalist
161,dictionary editor
162,artist
163,psychologist
164,psychologist
165,roboticist
167,technology forecaster
168,paleoanthropologist
170,producer
171,filmmaker
172,artist
174,architect
175,education researcher
176,engineer
177,epidemiologist
177,philanthropist
178,planetary scientist
179,dancer
181,entrepreneur
182,illustrator
182,author
183,dna origamist
184,brain expert
185,economist
187,legal activist
188,guitarist
189,doctor
190,user anthropologist
191,monk
191,author
191,photographer
192,environmental scientist
193,author
193,academic
193,futurist
194,physicist
195,biologist
196,technology columnist
197,designer
198,mathematician
199,mathemagician
200,psychologist
201,connector
202,tinkerer
203,investor
204,novelist
205,filmmaker
206,oceanographer
207,curator of architecture and design
208,college president
209,social innovator
210,artist
211,head of ted
212,transport networker
213,city evangelist
214,environmental writer
215,illustrator
216,digital community builder
217,playwright
217,activist
218,theremin player
219,architect
220,kenyan mp
221,historian of science
222,singer/songwriter
222,actor
222,comedian
222,playwright
223,jugglers
224,researcher
224,astronomer
225,venture capitalist
227,biologist
227,genetics pioneer
228,educator and computing pioneer
229,neuroanatomist
230,tech visionary
231,architect
232,physicist
232,education activist
233,author
233,publisher
233,education activist
234,religious scholar
235,illustrator
236,brain researcher
237,astronomer
237,educator
237,skeptic
239,filmmaker
241,designer
242,theoretical physicist
243,climate advocate
245,human-computer interaction researcher
246,composer
246,inventor
246,musician
247,legal expert
248,ceo
248,public radio international (pri)
249,cardiologist
250,novelist
251,physicist
252,physician
252,author
253,physicist
254,band
255,ceo
258,mycologist
259,evolutionary biologist
260,juggler
261,hacker
263,food writer
264,oceanographer
266,designer
267,sculptor
268,doctor
269,memeticist
270,economist
271,polymath
272,psychologist
273,anthropologist
273,ethnobotanist
274,social media theorist
276,physicist
278,historian of science
279,artist
280,biologist
282,filmmaker
285,venture capitalist
286,conductor
287,singer/songwriter
288,tech visionary
292,space activist
294,novelist
294,poet
296,singer/songwriter
297,photographer
298,guitarist
299,botanist and activist
300,animating neurobiologist
301,author
306,physicist
307,anthropologist
307,expert on love
308,preacher
310,magician
312,psychologist
313,craft artist
313,product designer
315,paleoanthropologist
316,artist
316,storyteller
316,internet anthropologist
318,architecture critic
319,digital visionary
320,bioengineer
321,origamist
322,engineer and origamist
322,cellist
323,genographer
324,director of photography
324,national geographic
325,singer/songwriter
326,particle physicist
327,close-up card magician
328,animal behaviorist
329,musician and inventor
330,blogger and activist
331,dna origamist
333,educator
334,african grey parrot
335,space activist
339,entrepreneur
339,marketer
340,primatologist
340,environmentalist
341,social psychologist
343,oceanographer
344,physician
344,disaster-preparedness activist
345,traveler
346,digital librarian
347,storyteller
348,lunch lady
349,counselor
349,coach and baker
350,toy designer
351,ai pioneer
353,angel investor
354,psychologist
355,roboticist
356,graphic designer
358,constitutional law scholar
359,designer
360,photojournalist
361,game designer
362,writer
363,historian
364,human beatbox
365,civilization scholar
366,positive psychologist
371,physicist
372,curator of architecture and design
374,expert
375,journalist
377,physician
377,author
379,engineer
381,photographer
383,performance poet
383,multimedia artist
385,inventor
385,inventor
386,filmmaker
388,inventor
390,finance journalist
391,planet walker
392,designer
393,nose
394,physicist
395,political scientist and journalist
396,fashion designer
399,planetary scientist
400,comedian
402,environmentalist
402,futurist
403,filmmaker
404,astrophysicist
405,technologist and futurist
406,chef
407,internet entrepreneur
408,bioengineer
409,writer
410,entrepreneur
411,automotive researcher
412,inventor
413,folk musician
414,designer
416,bee expert
418,entrepreneur
419,author
420,psychologist; happiness expert
421,cave scientist
422,mathematician
423,tech visionary
424,reporter
426,biochemist
427,artist
428,paleontologist
429,inventor
430,designer
431,designer
432,cartoonist
433,baker
434,writer
435,designer at play
436,type designer
437,entrepreneur
439,world-builder
440,paleontologist
441,doctor
442,inventor
443,athlete and actor
445,biochemist
447,fiddler
450,idea guy
451,philanthropist
453,writer
455,graphic designer
457,mit grad student
462,psychologist
463,author
463,academic
463,futurist
464,maestro
466,ensemble
467,oceanographer
468,astronomer
469,visual storyteller
470,oceanographer
471,ichthyologist
472,photographer and explorer
473,twitter co-founder
474,designer and theorist
475,conservationist
476,tree researcher
477,tv host
480,cognitive scientist and design critic
481,researcher
481,director of research
481,samsung research america
482,athlete and actor
483,play researcher
483,psychiatrist
484,inventor
485,philosopher
485,cognitive scientist
487,behavioral economist
488,maker
488,critical thinker
489,humorist
490,business owner and activist
492,inventor
494,investor and advocate for moral leadership
495,technology columnist
498,coach
499,virus hunter
500,poet
501,newspaper designer
502,aerialist
503,designer
504,military analyst
506,filmmaker
507,political scientist
509,molecular biologist
510,philosopher-comic
511,skeptimist
512,green auto pioneer
515,author
515,thinker
516,composer
517,investor
517,human guinea pig
517,author
518,marketer
518,rock climber
519,figurer
520,designer
521,statistician
523,technologist
524,cartoonist
525,economist
526,neuroscientist
527,polymorphic playwright
529,science journalist
531,physicist
532,physicist and military theorist
533,astronaut
533,engineer
533,entrepreneur
533,physician and educator
534,sculptor
535,climate advocate
537,food and agriculture expert
538,marketer and author
540,global health expert; data visionary
544,a capella ensemble
545,technologist and visionary
547,sustainable-business pioneer
548,behavioral economist
549,writer
551,planetary scientist
552,designer
553,speaker and author
554,entrepreneur
555,first lady of the united states
556,educator
557,guitarist
558,college president
560,inventor
560,futurist
561,photographer
562,publisher
562,philanthropist
562,poet
563,media exec
565,engineer
565,executive
566,inventor
570,evolutionary psychologist
571,biologist
572,marketer
572,success analyst
573,biospherian
575,social media theorist
578,deprogrammer
580,roboticist
582,psychologist
584,economist
585,new philanthropist
586,endurance runner
587,mathemagician
588,tinkerer
589,architect
590,artist
591,designer
592,development economist
594,biochemist
598,environmentalist
598,futurist
599,sculptor of light and space
601,physician-scientist
601,inventor
601,entrepreneur
602,neurobiologist
603,anthropologist
604,british prime minister
605,philosopher
606,experimental audio-visual artist
607,aquatic ape theorist
608,chief economist and senior vice president
608,world bank
610,micro-sculptor
613,inventor
614,science writer
614,innovation consultant
614,conservationist
615,hip-hop artist
618,career analyst
619,wireless electrician
620,global health expert; data visionary
621,artist
622,biodiversity archivist
623,optical innovator
625,social commentator
626,creative technologist
627,stuntman
628,photographer
629,coldwater swimmer
630,cognitive neuroscientist
633,underworld investigator
634,architect
635,producer
637,neurological anthropologist
639,musician
640,net watchdog
641,internet scientist
642,inventor
643,artist
644,investor and advocate for moral leadership
645,global strategist
646,designer
647,religious scholar
648,astrophysicist
649,graphic designer
650,food urbanist
651,professor of management
652,novelist
653,neuroscientist
654,writer
655,landscape ecologist
657,robotics designer
658,advertising guru
659,neuroscientist
660,sound consultant
661,marketing whiz
662,computer graphics pioneer
663,conductor and leadership expert
664,inventor
665,economist
665,development visionary
666,physicist
666,author
667,applied scientist
667,innovator
669,writer
670,mathematician
673,spiritual leader
674,vedantic teacher
675,preacher
676,chairman of the cordoba initiative
677,buddhist scholar
679,journalist
679,philosopher
680,tech anthropologist
681,co-founder
681,architecture for humanity
682,atmospheric chemist
683,photographer
684,cultural diplomacy expert
685,director of research
685,samsung research america
686,mythologist
688,dancer
688,actor
688,activist
689,politician and writer
691,designer
692,social entrepreneur
694,designer
695,global health expert; data visionary
696,resilience leader
698,dune architect
700,british prime minister
701,astronomer
702,environmental activist
704,anti-trafficking crusader
705,puzzlemaster
706,comedian
708,cultural historian
709,vision activist
710,arab sexuality expert
712,macroeconomist
713,photographer
714,entrepreneur
715,marine biologist
716,aphorist
717,social entrepreneur
717,lawyer
718,physicist
719,social entrepreneur
723,solar adventurer
724,brain expert
726,x-ray visionary
727,longevity coach
727,explorer
728,herpetologist
729,jazz legend
734,wildlife conservationist
735,educator
736,engineer
738,comedian
738,voice artist
741,illusionist
741,endurance artist
743,investor
744,surgeon
748,health and human services expert
750,architect
751,playwright
751,activist
752,social entrepreneur
755,entrepreneur
757,behavioral economist
759,healthcare revolutionary
760,chemist
761,cancer doctor
762,sculptor
762,journalist
763,founder
763,transparency international
765,chef
765,activist
766,software architect
767,philanthropist
768,politician
769,athlete and actor
770,digital visionary
771,legal activist
772,cardiologist and geneticist
773,livestock handling designer
773,autism activist
776,visual neuroscientist
777,artist
779,behavioral economics founder
780,cricket commentator
783,technologist
785,director
786,dance adventurers
787,happiness teacher
788,inventor
789,venture capitalist
790,chef
791,adventure physician
792,magician
796,biochemist
796,cell biologist
797,social scientist
799,game designer
800,director and writer
801,neuroscientist
801,philosopher
802,biologist
803,executive
803,simplicity guru
804,planetary and atmospheric scientist
805,violinist
807,anti-slavery activist
809,education activist
811,media expert
814,entrepreneur
815,child prodigy
818,author
819,inventor
820,roboticist
821,educator
823,singer/songwriter
824,writer
826,executive
828,roboticist
830,filmmaker
831,curator
833,marine biologist
835,skeptic and conjuror
836,inventor
837,designer
838,technologist
838,city councilman
842,philanthropist
843,scientist
843,inventor
844,ocean rower
845,chemist
846,data scientist
847,development economist
848,leadership expert
849,electronic music pioneer
849,string quartet
850,marine ecologist
851,innovation advocate
852,physician
852,social scientist
853,polymath
854,marine ecologist
855,educator
856,actor
856,comedian
856,playwright
859,cancer researcher
860,journalist
861,conservation biologist
862,geophysicist
863,biologist
863,genetics pioneer
865,author
865,educator
866,media maven
868,director
868,journalist
869,vaccine visionary
871,legal activist
872,interface designer
873,photographer
874,founder
874,4chan
876,physicist
877,creative entrepreneur
878,political philosopher
879,conservationist
880,advertising guru
881,environmentalist
881,futurist
881,civil and environmental engineer
883,musician
883,artist
883,writer
884,skeptic
885,user experience master
886,behavioral ecologist
887,entrepreneur
888,dancer and choreographer
889,hospitality entrepreneur
889,author
891,designer
891,illustrator
891,typographer
892,innovation consultant
893,neuroscientist
894,entrepreneur
894,lego enthusiast
896,social media theorist
898,architect
899,marine biologist
900,scientist
900,artist
901,architect
901,designer
909,mathematician
910,social entrepreneur
911,tree researcher
912,global health expert; data visionary
914,ecologist
914,writer
915,rational optimist
916,blogger
916,digital visionary
917,novelist
918,internet activist
919,creator
919,the 99
920,astronomer
921,entrepreneur
922,surgeon
922,inventor
924,psycho-economist
925,marine toxicologist
926,oceanographer
927,cognitive psychologist
928,coldwater swimmer
929,market transformer
930,author
930,journalist
932,game changer
934,producer
935,comedian
936,entrepreneur
937,data journalist
938,journalist
939,cartoonist
940,writer
941,online marketing whiz
944,happiness researcher
945,sustainability expert
946,spiritual leader
947,entrepreneur
948,artist
948,photographer
949,education researcher
950,artist
951,diplomat
952,arts administrator
954,oceanographer
954,biogeochemist
955,head of ted
957,writer
958,physician
958,social scientist
959,musician
960,artist
961,writer
962,hiv/aids fighter
963,activist
963,singer-songwriter
964,designer
965,sound consultant
966,journalist
967,computational neuroscientist
968,analytical psychologist
970,public health expert
971,green designer
972,economist
973,marine biologist
974,global health expert; data visionary
975,brand strategist
976,plant neurobiologist
977,philanthropist
978,building activist
980,artist and engineer
981,web humorist
983,microlender
984,food scientist
986,artist and activist
987,editorial cartoonist
988,electronic music pioneer
988,string quartet
988,musician
988,artist
988,writer
991,scientist
991,innovator
992,diplomat
993,chef
994,entomologist
995,multimedia artist
996,gaming theorist
997,voting system designer
998,oceanographer
1000,optogeneticist
1001,musician
1002,humanitarian design activist
1003,ethnic conflicts scholar
1004,photographer
1005,labor-rights activist
1006,ecologist
1007,mathematician
1008,philosopher
1009,computer scientist
1009,educator
1010,designer
1010,educator
1011,high seas policy advisor
1012,neuropsychologist
1013,activist and social entrepreneur
1014,software entrepreneur
1015,builder
1016,aspiring organic farmer
1017,mediator
1018,ecological entomologist
1019,product developer
1020,green chef
1030,change catalyst
1031,author
1031,educator
1031,activist
1032,corrections pioneer
1033,journalist
1034,educator
1036,website co-founders
1037,trust researcher
1039,conservationists
1039,filmmakers
1040,coo
1040,facebook
1041,activist for environmental justice
1042,vulnerability researcher
1043,psychologist
1044,journalist
1045,writer
1045,psychologist
1046,researcher
1047,physician
1047,cancer researcher
1048,thinker
1048,writer
1048,speaker
1048,podcaster
1049,nobel peace laureate
1050,cyborg anthropologist
1051,designer
1052,wellness specialist
1053,instructional designer
1054,journalist
1054,activist
1055,soprano
1056,social justice and green energy activist
1057,scientific visualization expert
1058,roboticist
1059,writer
1059,columnist
1060,healthcare communicator
1061,cartoonist
1062,writer
1064,landscape architect
1065,tech publisher
1066,media maven
1067,journalist
1067,runner
1068,poet
1068,playwright
1069,author and marketer
1070,roboticist
1071,somali doctors who treat women refugees
1072,architect
1073,whistler
1074,journalist
1075,language
1076,investor and advocate for moral leadership
1077,entrepreneur
1078,former us secretary of state
1079,economist
1080,facial surgeon
1081,explorer
1081,ethnographer
1082,computer theorist
1083,piano trio
1084,journalist
1085,street artist
1086,internet activist and computer engineer
1087,philanthropist
1088,surgeon
1089,journalist
1090,educator and social entrepreneur
1091,online democracy advocate
1092,cognitive scientist
1093,natural resources expert
1094,op-ed columnist
1094,author
1095,physicist
1096,activist
1096,volunteer firefighter
1098,lighting designer
1100,poet
1101,global health expert; data visionary
1102,primatologist
1103,ethicist
1104,berkeley bionics' ceo
1105,soprano
1106,language teacher
1107,security consultant
1108,puppeteers
1109,educator
1109,entrepreneur
1110,composer
1110,conductor
1111,educator
1112,military leader
1113,google fellow
1114,filmmaker
1115,entrepreneur
1116,inclusivity activist
1117,musician and activist
1118,historian
1119,artist and organizer
1120,actor and writer
1121,film critic and blogger
1122,farmer and technologist
1124,surgeon
1125,sociologist
1126,wrongologist
1127,educator
1129,author
1129,journalist
1130,entrepreneur
1131,health policy expert
1132,security expert
1133,biological engineer
1134,software engineer
1135,toymaker
1136,9/11 mothers
1137,architect and engineer
1138,designer
1138,biofabrication pioneer
1139,physicist
1139,cosmologist
1140,filmmaker
1141,polar photographer
1142,biomedical engineer
1143,entrepreneur
1144,technologist
1145,physicist
1146,neuroengineer
1147,designer
1148,pediatric anesthesiologist
1149,marine biologist
1150,thinker
1152,data artist
1153,epidemiologist
1154,iranian visual artist
1155,journalist
1156,violinist
1156,cellist
1158,roboticist
1159,graphic designer
1160,physicist
1161,designer
1162,philosopher
1162,entrepreneur
1163,dinosaur digger
1164,artist
1165,chief economist and senior vice president
1165,world bank
1166,historian
1167,communicator
1168,physician-scientist
1168,inventor
1168,entrepreneur
1169,artist and curator
1170,entrepreneur
1171,photographer
1172,beatjazz inventor and controllerist
1173,cellist
1174,executive chair
1174,ford motor co.
1175,linguist
1175,educator
1176,cartoonist
1177,artist
1178,comedian
1178,activist
1180,computational neuroscientist
1181,e-patient
1182,friend of the high line
1183,technologist
1184,polymath
1185,educator
1186,author
1186,producer
1187,tissue engineering researcher
1188,internet freedom activist
1189,anti-extremism activist
1190,economist
1190,journalist
1190,broadcaster
1191,journalist
1192,cybersecurity expert
1193,actor
1194,algoworld expert
1195,designer
1196,politician
1197,theorist
1198,psychologist
1199,anti-hunger leader
1200,sound consultant
1201,journalist
1202,communications technology innovator
1203,evolutionary biologist
1204,engineer and biodiversity scientist
1205,playwright
1205,activist
1206,psychologist
1207,planetary futurist
1208,penguin expert
1209,peace activist
1210,stellar astronomer
1211,cyber illusionist
1212,behavioral economist
1213,geneticist
1214,filmmaker
1215,inventor
1216,author
1216,zen priest
1217,historian
1218,chemist
1219,artist
1220,political economist
1221,underworld investigator
1222,artist and technologist
1223,entrepreneur
1224,media executive
1226,historian
1227,data researcher
1227,researcher
1228,global development worker
1229,cancer researcher
1230,visualizer and gamestorming
1231,physician and author
1232,social commentator
1233,filmmaker
1234,debunker
1235,soprano
1236,media mogul
1236,tv host
1237,artificial life researcher
1238,journalist
1239,plastics recycler
1240,conductor
1241,child development psychologist
1242,journalist
1243,designer
1244,software entrepreneur
1245,physicist
1246,lie detector
1247,artist
1248,educator
1249,science entrepreneur
1250,author
1251,biomedical engineer
1252,artist
1253,public health researcher
1255,writer
1256,research scientist
1257,papercutter artist
1258,privacy artist
1259,neuroeconomist
1260,inventor
1261,movement expert
1262,cyber illusionist
1263,translator
1263,plain language activist
1264,chemist
1265,artist
1266,digital preservationist
1267,brain scientist
1268,tech investor
1269,comedian
1270,medical image maker
1271,jetman
1272,developer
1272,12 year old
1274,biochemist
1274,geneticist
1276,comedian
1278,entrepreneur
1278,author
1279,activist
1280,astronomer
1281,roboticist
1282,storyteller
1283,filmmaker
1284,artist
1284,urban farmer
1285,pro snowboarder
1286,philosopher
1286,entrepreneur
1287,wrongologist
1288,anti-torture activist
1289,science author
1290,science writer
1290,dance troupe
1291,researcher
1292,reporter
1293,poet
1294,organizer
1295,computer scientist
1296,spider silk scientist
1297,medical inventor
1298,jazz vibraphonist
1299,engineer
1300,engineer
1300,social entrepreneur
1301,photographer
1302,surgeon
1303,environmental economist
1304,chef
1304,chef
1305,education innovator
1306,gardening activist
1307,philosopher
1308,neuroscientist
1309,neuroscientist
1310,behavioral economist
1311,physiotherapist
1312,author
1313,actor and activist
1314,diplomat
1315,data scientist
1317,physicist
1318,economist
1320,science fair winner
1320,science fair winner
1320,science fair winner
1321,foreign minister of norway
1322,biomedical animator
1323,singer-songwriter
1324,engineer
1324,nuclear technologist
1325,contemporary music ensemble
1325,conductor
1326,water data wrangler
1327,philosopher
1328,cybersecurity expert
1329,social media theorist
1330,psycho-economist
1331,mathematician
1332,nasa scientist
1334,philosopher
1335,3d printing entrepreneur
1336,journalist
1336,swimmer
1337,physician
1337,broadcaster
1338,artist
1338,scientist and entrepreneur
1339,reporter
1341,ceo
1341,kiva systems
1342,general
1343,engineer
1344,psychologist
1345,medical technologist
1346,computer theorist
1347,ceo
1347,presentation designer
1348,economist
1348,techno-activist
1349,neuroscientist
1350,ethicist
1351,founder
1351,doha film institute
1352,dinosaur digger
1353,photographer and retoucher
1354,teacher
1355,leadership educator
1356,biologist
1356,filmmaker
1357,writer
1359,healthcare innovator
1360,marine biologist
1361,aid worker
1362,photographer
1363,stellar astronomer
1364,director of the british museum
1365,writer
1366,artist
1367,economist
1368,entrepreneur
1369,senior editor
1369,time magazine
1370,computer security expert
1371,head of culture & trends
1371,youtube
1372,marine biologist
1373,fisheries biologist
1374,writer
1375,space activist
1376,roboticist
1377,quiet revolutionary
1378,public-interest lawyer
1379,filmmaker
1380,climatologist
1381,code activist
1382,social energy entrepreneur
1383,artist
1383,designer
1384,professor of economics
1384,university of waterloo
1385,neuroscientist
1386,head of ted
1387,oceanographer
1388,maker
1388,critical thinker
1389,social psychologist
1390,author
1390,entrepreneur
1391,vulnerability researcher
1392,industrial designer
1393,architect
1394,entrepreneur and energy theorist
1396,physician
1397,nuclear scientist
1398,poet
1399,doctor
1399,intensive care specialist
1400,data artist
1401,materials engineer
1402,former director of darpa
1403,peace activist
1403,nobelist
1404,engineer and artist
1405,cyber illusionist
1406,founder and executive director
1406,earthspark international
1408,marine biologist
1408,scientific research team
1409,cultural analyst
1410,graphic designer
1411,technologist
1412,professor
1413,body architect
1415,performance artist
1416,secret keeper
1417,primatologist
1418,philanthropist
1419,engineer and artist
1420,clawhammer banjo player
1421,surgeon
1421,writer
1421,public health innovator
1422,web entrepreneur
1423,artist
1424,psychologist
1425,archaeological geneticist
1426,physicist
1427,social science researcher
1428,educator
1429,mayor of rio de janeiro
1430,health activist
1431,lawyer
1432,game designer
1433,designer
1434,physicist
1434,energy guru
1435,kinetic sculptor
1437,advertising guru
1438,blogger and fashion icon
1439,photographer
1440,musician
1440,conductor
1441,technologist
1442,natural history filmmaker
1443,writer
1444,skeptimist
1445,malariologist
1446,professor of music
1447,cognitive neuroscientist
1448,data researcher
1449,designer
1449,educator
1450,neuroscience phd student + writer
1451,street artist
1452,graphic designer
1453,marine biologist
1454,virus hunter
1455,global health expert; data visionary
1456,high-wire artist
1457,arab sexuality expert
1458,vocalist
1458,beatboxer
1458,comedian
1459,roboticist
1460,professor
1461,curator
1461,rare book scholar
1462,muslim studies scholar
1463,designer
1464,performance ensemble
1465,astronomer
1466,digital money and identity consultant
1467,author
1467,academic
1467,futurist
1468,biologist
1469,thinker
1470,biological miner
1471,expert
1472,autism researcher
1473,reporter
1474,journalist
1475,health innovator
1476,film director
1477,satellite archaeologist + ted prize winner
1478,journalist
1479,skater
1480,death penalty lawyer
1481,health reporter
1482,cyber illusionist
1483,physicist
1484,artist
1485,biologist
1487,computer scientist
1488,engineer
1489,professor
1490,performance poet
1490,multimedia artist
1491,physical computing guru
1492,digital strategist
1494,mental health law scholar
1495,quantum researcher
1496,global security futurist
1498,global health consultant
1499,inventor
1499,environmentalist
1499,educator
1500,revolutionary guitarist
1500,artist
1500,composer
1501,game designer
1503,biologist
1505,visualizer
1506,mechanical engineer
1507,assistant professor
1508,video sculptor
1509,cancer researcher
1510,anti-poverty activist
1512,sonochromatic cyborg artist
1513,navy admiral
1514,neuroeconomist
1516,designer
1517,computer programmer
1518,politician
1518,data activist
1519,computational architect
1520,femto-photographer
1521,author
1522,beekeeper
1523,blogger
1524,visual effects guru
1526,composer
1527,dancer and choreographer
1528,photojournalist
1530,teacher
1531,educator
1532,photo retoucher
1533,writer
1533,entrepreneur
1534,applied mathematician
1535,filmmaker and remixer
1537,artist and historian
1538,cofounder
1538,incredible edible
1541,photographer
1542,peace builder
1543,complexity theorist
1544,writer
1544,filmmaker
1545,disaster relief expert
1545,disaster relief expert
1546,social media theorist
1547,public intellectual
1548,writer
1549,designer
1551,sculptor
1552,theater producer
1553,artist
1553,designer
1553,urban planner
1554,journalist
1555,author
1556,data intelligence agent
1557,mental health care advocate
1558,open-government expert
1559,architect
1560,forensic psychologist
1560,expert witness
1561,scientist and biofuel guru
1562,stem cell research advocate
1563,cognitive neuroscientist
1564,sound consultant
1565,author and activist
1566,designer
1566,storyteller
1567,social justice activist
1568,biologist
1568,community science advocate
1569,social psychologist
1570,computer scientist
1570,educator
1571,artist
1572,trust researcher
1573,behavioral neuroscientist
1574,management theorist
1575,debunker
1576,network author
1577,violinist
1578,producer
1579,museum director
1580,business educator
1581,coo
1581,mozilla foundation
1582,mapmaker
1583,environmental policy influencer
1584,comedian and mental health activist
1585,data commons advocate
1586,lawyer
1587,neuroscientist
1587,student
1588,art diagnostician
1591,business romantic
1592,communications teacher
1593,globalization researcher
1594,journalist
1595,politician
1596,poet and playwright
1597,psychologist
1597,disgust researcher
1598,architect
1599,development leader
1600,writer
1601,ceo
1601,lumos
1602,cyber illusionist
